Date,ASHOKLEY.NS,ASTRAL.NS,AUBANK.NS,AUROPHARMA.NS,BHARATFORG.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,FEDERALBNK.NS,GODREJPROP.NS,HDFCAMC.NS,HINDPETRO.NS,IDEA.NS,IDFCFIRSTB.NS,INDHOTEL.NS,JUBLFOOD.NS,LUPIN.NS,MPHASIS.NS,MRF.NS,PAGEIND.NS,PERSISTENT.NS,PIIND.NS,POLYCAB.NS,UPL.NS,VOLTAS.NS
2021-01-01,92.20377349853516,976.7192993164062,436.0341796875,902.5863037109375,523.5126342773438,2573.910888671875,381.9012145996094,546.9642333984375,65.4406967163086,1427.25,2779.178466796875,122.12488555908203,11.199999809265137,37.400001525878906,118.94792938232422,553.9442749023438,980.6436157226562,1415.4693603515625,75547.828125,27122.181640625,724.9837646484375,2237.557861328125,1012.7573852539062,449.0788879394531,815.3755493164062
2021-01-04,96.80931854248047,1004.0966796875,439.9693603515625,939.5556640625,537.6195678710938,2683.873291015625,391.7469177246094,573.2139892578125,67.84484100341797,1407.199951171875,2804.76318359375,122.95283508300781,11.899999618530273,38.599998474121094,121.29906463623047,544.91943359375,1006.1663818359375,1405.7083740234375,77913.546875,27469.59375,735.75537109375,2231.728271484375,1036.573974609375,452.7629699707031,829.6442260742188
2021-01-05,97.4605941772461,993.022705078125,440.666748046875,952.7867431640625,541.4625854492188,2725.475830078125,393.0724182128906,579.5647583007812,69.5277328491211,1406.5999755859375,2866.22314453125,123.14602661132812,11.899999618530273,39.70000076293945,118.18021392822266,550.5426025390625,1018.9033813476562,1463.3487548828125,78560.296875,27547.814453125,750.5933837890625,2223.576416015625,1119.5643310546875,450.94488525390625,821.161376953125
2021-01-06,97.78623962402344,965.6173706054688,443.1075439453125,942.571533203125,533.4360961914062,2648.889404296875,410.82318115234375,574.2488403320312,69.91238403320312,1460.5999755859375,2873.500244140625,121.95927429199219,11.850000381469727,41.400001525878906,118.37213897705078,553.1111450195312,980.3496704101562,1494.898193359375,78261.3984375,27693.609375,745.94580078125,2202.628662109375,1150.3250732421875,452.0453186035156,852.4937133789062
2021-01-07,103.32219696044922,963.2963256835938,442.3354797363281,931.4808349609375,582.6158447265625,2591.44970703125,408.31427001953125,605.25,72.74928283691406,1452.800048828125,2839.525390625,122.9804458618164,11.949999809265137,45.79999923706055,118.89994812011719,567.6798095703125,1001.5615234375,1538.614013671875,76850.59375,27614.5703125,735.9489135742188,2161.5732421875,1249.7471923828125,461.71014404296875,864.4578247070312
2021-01-08,104.9504165649414,985.8637084960938,445.12493896484375,919.80615234375,586.9451293945312,2651.39501953125,418.96484375,597.4408569335938,72.84544372558594,1463.1500244140625,2908.772216796875,124.47077178955078,11.75,44.400001525878906,118.37213897705078,577.7061767578125,1017.7766723632812,1516.686767578125,80099.71875,28747.986328125,760.4934692382812,2311.813720703125,1221.2362060546875,481.94879150390625,884.7576904296875
2021-01-11,108.81161499023438,1000.1815795898438,448.0390319824219,939.0206298828125,594.3877563476562,2663.544921875,416.12469482421875,587.1386108398438,71.93186950683594,1472.8499755859375,2950.1162109375,123.83599853515625,11.5,44.45000076293945,119.4757308959961,580.4533081054688,1053.73388671875,1572.0601806640625,81993.6484375,28627.76953125,780.7293701171875,2304.650146484375,1201.429931640625,476.0159912109375,896.6237182617188
2021-01-12,113.13802337646484,967.0435791015625,450.7288513183594,932.2590942382812,604.5545654296875,2621.281005859375,421.8522644042969,586.3389282226562,73.27818298339844,1474.0,2978.06494140625,124.13957977294922,12.100000381469727,47.150001525878906,118.27617645263672,570.853271484375,1038.8414306640625,1533.38671875,85212.453125,28946.759765625,787.6280517578125,2258.554931640625,1185.144775390625,479.8914489746094,885.7383422851562
2021-01-13,113.18455505371094,963.0445556640625,444.5769958496094,921.5087890625,611.2188110351562,2581.427734375,416.07733154296875,574.9075317382812,71.93186950683594,1428.6500244140625,3008.93408203125,125.38153076171875,12.25,46.04999923706055,121.53897094726562,562.4334716796875,1045.7977294921875,1527.83544921875,85108.5078125,27918.732421875,796.8988037109375,2229.702392578125,1194.240966796875,470.5137023925781,879.4619750976562
2021-01-14,110.81200408935547,950.62841796875,455.2867431640625,933.2319946289062,605.5760498046875,2585.0205078125,424.40838623046875,580.4115600585938,72.17227935791016,1427.949951171875,3073.174560546875,128.94178771972656,12.300000190734863,46.25,122.16273498535156,552.1194458007812,1083.420654296875,1569.2845458984375,88196.484375,28030.134765625,809.8004150390625,2212.707275390625,1185.682861328125,487.4510803222656,894.5643310546875
2021-01-15,111.27721405029297,947.7479858398438,458.3999938964844,910.612548828125,596.9172973632812,2494.062255859375,409.73443603515625,566.0635375976562,70.53746795654297,1382.300048828125,3007.543212890625,126.18186950683594,13.649999618530273,48.45000076293945,121.82685089111328,542.0929565429688,1071.026611328125,1542.8238525390625,87006.0625,27388.9140625,788.6688232421875,2212.01513671875,1162.8446044921875,500.034423828125,870.390869140625
2021-01-18,106.34603118896484,902.1097412109375,443.0079345703125,892.4197387695312,572.8383178710938,2373.0849609375,402.49212646484375,559.0071411132812,68.85456848144531,1353.75,2953.267822265625,127.6446304321289,13.0,46.650001525878906,121.20309448242188,555.8483276367188,1041.48681640625,1512.7083740234375,85127.9296875,27221.88671875,770.9261474609375,2177.3330078125,1168.0771484375,537.1148071289062,873.6761474609375
